model_id,model_steps,env_name,ep_steps,ep_return
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,739,1775
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2759,6350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,547,1475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,671,1200
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,997,2550
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1097,2800
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2084,4875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,739,1775
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,769,1825
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,244,400
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,590,1425
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,246,625
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,246,625
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,246,625
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,708,1650
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,404,900
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,590,1425
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2116,4725
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,671,1200
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,690,1350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1843,4450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,590,1425
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,794,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,547,1475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,769,1825
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1097,2800
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,532,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,532,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,547,1475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2005,4800
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,404,900
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1843,4450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,808,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,808,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,404,900
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,547,1475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2759,6350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2005,4800
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,708,1650
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1843,4450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,840,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,671,1200
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,246,625
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,808,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,690,1350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1843,4450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,812,1450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,690,1350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,739,1775
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,739,1775
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,708,1650
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,739,1775
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2084,4875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,532,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,808,1875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,404,900
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,989,2200
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,769,1825
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,997,2550
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,590,1425
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2005,4800
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,437,925
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,997,2550
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,812,1450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1843,4450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,989,2200
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,690,1350
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,644,1250
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,708,1650
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,244,400
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,997,2550
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,547,1475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,769,1825
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1831,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,1652,4475
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,812,1450
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,997,2550
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,2084,4875
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,708,1650
MultiTask3NameThisGame,99068800,AirRaidNoFrameskip-v4,989,2200
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1686,4625.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,750,1475.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1686,4625.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,409,825.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,409,825.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,690,1350.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,568,1250.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1886,4725.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1120,2525.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1138,2400.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1203,2925.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,754,1750.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,409,825.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,2399,4775.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,635,1825.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,303,475.0
MultiTask3NameThisGame,100003200,AirRaidNoFrameskip-v4,1203,2925.0
