model_id,model_steps,env_name,ep_steps,ep_return
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,406,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,409,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,410,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,345,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,544,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,322,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,404,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,404,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,542,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,319,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,317,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,544,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,411,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,323,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,317,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,547,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,546,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,405,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,343,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,404,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,405,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,411,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,346,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,404,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,344,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,404,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,406,250
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,309,300
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,507,400
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,346,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,541,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,546,320
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,336,180
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,394,220
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,341,110
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,754,670
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,501,370
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,317,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,317,20
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,227,140
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,1012,740
MultiTask3NameThisGame,100003200,NameThisGameNoFrameskip-v4,343,110
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1004,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1007,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1002,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1071,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,781,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1122,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,779,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,781,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1003,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1070,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1070,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1071,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1121,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1121,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1121,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1006,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1003,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1128,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,778,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1002,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1127,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1123,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1002,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
