model_id,model_steps,env_name,ep_steps,ep_return
AirRaid,1005440,AirRaidNoFrameskip-v4,2061,3000
AirRaid,1005440,AirRaidNoFrameskip-v4,2678,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,2031,2325
AirRaid,1005440,AirRaidNoFrameskip-v4,2067,2450
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2484,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2067,2450
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,2061,3000
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,2680,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,2287,2325
AirRaid,1005440,AirRaidNoFrameskip-v4,2678,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,2347,2700
AirRaid,1005440,AirRaidNoFrameskip-v4,2390,3350
AirRaid,1005440,AirRaidNoFrameskip-v4,1568,2200
AirRaid,1005440,AirRaidNoFrameskip-v4,2680,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,2270,4075
AirRaid,1005440,AirRaidNoFrameskip-v4,2429,3250
AirRaid,1005440,AirRaidNoFrameskip-v4,1993,2375
AirRaid,1005440,AirRaidNoFrameskip-v4,2503,4400
AirRaid,1005440,AirRaidNoFrameskip-v4,1907,2400
AirRaid,1005440,AirRaidNoFrameskip-v4,2001,2225
AirRaid,1005440,AirRaidNoFrameskip-v4,2678,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,2031,2325
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2067,2450
AirRaid,1005440,AirRaidNoFrameskip-v4,1867,1775
AirRaid,1005440,AirRaidNoFrameskip-v4,2503,4400
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,1750,1875
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2270,4075
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,2484,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,2503,4400
AirRaid,1005440,AirRaidNoFrameskip-v4,1568,2200
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,1568,2200
AirRaid,1005440,AirRaidNoFrameskip-v4,1993,2375
AirRaid,1005440,AirRaidNoFrameskip-v4,1500,1300
AirRaid,1005440,AirRaidNoFrameskip-v4,1979,2950
AirRaid,1005440,AirRaidNoFrameskip-v4,2001,2225
AirRaid,1005440,AirRaidNoFrameskip-v4,2680,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,1979,2950
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,2715,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,1500,1300
AirRaid,1005440,AirRaidNoFrameskip-v4,1568,2200
AirRaid,1005440,AirRaidNoFrameskip-v4,1587,1875
AirRaid,1005440,AirRaidNoFrameskip-v4,2484,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,1993,2375
AirRaid,1005440,AirRaidNoFrameskip-v4,2270,4075
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,2503,4400
AirRaid,1005440,AirRaidNoFrameskip-v4,2550,3175
AirRaid,1005440,AirRaidNoFrameskip-v4,2001,2225
AirRaid,1005440,AirRaidNoFrameskip-v4,2158,3150
AirRaid,1005440,AirRaidNoFrameskip-v4,754,950
AirRaid,1005440,AirRaidNoFrameskip-v4,2484,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2270,4075
AirRaid,1005440,AirRaidNoFrameskip-v4,1907,2400
AirRaid,1005440,AirRaidNoFrameskip-v4,2067,2450
AirRaid,1005440,AirRaidNoFrameskip-v4,2001,2225
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,1867,1775
AirRaid,1005440,AirRaidNoFrameskip-v4,2429,3250
AirRaid,1005440,AirRaidNoFrameskip-v4,2390,3350
AirRaid,1005440,AirRaidNoFrameskip-v4,2593,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,2840,3850
AirRaid,1005440,AirRaidNoFrameskip-v4,1587,1875
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,1500,1300
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,2390,3350
AirRaid,1005440,AirRaidNoFrameskip-v4,2158,3150
AirRaid,1005440,AirRaidNoFrameskip-v4,2593,3925
AirRaid,1005440,AirRaidNoFrameskip-v4,1827,1475
AirRaid,1005440,AirRaidNoFrameskip-v4,1827,1475
AirRaid,1005440,AirRaidNoFrameskip-v4,1867,1775
AirRaid,1005440,AirRaidNoFrameskip-v4,2390,3350
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,1500,1300
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,1705,1950
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,2347,2700
AirRaid,1005440,AirRaidNoFrameskip-v4,2219,2500
AirRaid,1005440,AirRaidNoFrameskip-v4,1500,1300
AirRaid,1005440,AirRaidNoFrameskip-v4,2680,2925
AirRaid,1005440,AirRaidNoFrameskip-v4,1587,1875
AirRaid,2007040,AirRaidNoFrameskip-v4,2517,5225
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,1787,2600
AirRaid,2007040,AirRaidNoFrameskip-v4,2635,4000
AirRaid,2007040,AirRaidNoFrameskip-v4,2517,5225
AirRaid,2007040,AirRaidNoFrameskip-v4,1714,2375
AirRaid,2007040,AirRaidNoFrameskip-v4,1869,2125
AirRaid,2007040,AirRaidNoFrameskip-v4,1714,2375
AirRaid,2007040,AirRaidNoFrameskip-v4,1903,2950
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,1593,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,1321,1850
AirRaid,2007040,AirRaidNoFrameskip-v4,2597,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,1321,1850
AirRaid,2007040,AirRaidNoFrameskip-v4,1954,3700
AirRaid,2007040,AirRaidNoFrameskip-v4,2597,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,1990,3075
AirRaid,2007040,AirRaidNoFrameskip-v4,1554,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,1990,3075
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,1554,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,1827,3125
AirRaid,2007040,AirRaidNoFrameskip-v4,1954,3700
AirRaid,2007040,AirRaidNoFrameskip-v4,1829,2500
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,1869,2125
AirRaid,2007040,AirRaidNoFrameskip-v4,1714,2375
AirRaid,2007040,AirRaidNoFrameskip-v4,1321,1850
AirRaid,2007040,AirRaidNoFrameskip-v4,2150,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,2150,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,1590,2250
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,3936,7350
AirRaid,2007040,AirRaidNoFrameskip-v4,1554,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,2141,3925
AirRaid,2007040,AirRaidNoFrameskip-v4,1319,1850
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,3397,5300
AirRaid,2007040,AirRaidNoFrameskip-v4,1554,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,1862,3025
AirRaid,2007040,AirRaidNoFrameskip-v4,1319,1850
AirRaid,2007040,AirRaidNoFrameskip-v4,1593,1975
AirRaid,2007040,AirRaidNoFrameskip-v4,1829,2500
AirRaid,2007040,AirRaidNoFrameskip-v4,2597,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,2597,3425
AirRaid,2007040,AirRaidNoFrameskip-v4,2389,4075
AirRaid,2007040,AirRaidNoFrameskip-v4,1554,1975
